Formula,T,Seebeck,s,k,ZT
Tl4SnTe3,673,212,12450,0.5,0.74
Zn0.95Cd0.05Sc0.02O1.03,773,-123,15000,5.2,0.034
SnSe0.8S0.2,773,358.81,2917,0.582,0.499
Ge0.55Pb0.45Te0.4Se0.6,721,281.25,9483,0.666,0.917
Bi0.8Ba0.2CuSeO,725,211.11,10673,0.695,0.607
Mg2Cu3In3Te8,866,226,7730,0.497,0.496
Cu26Ti2Sb3Ge3S32,677,139.7,70370,1.459,0.637
Ag(Bi0.9Pb0.1)0.7Sb0.3Se2,378,402.7,813,0.673,0.074
Cu12Sb4S13,525,100.1,91383,1.538,0.312
Sr14.1Ga29.6Ge56.3,367,-125.7,61474,1.465,0.24
Ba0.44Co4Sb11.90,850,-114,340400,0.1,0.6
ZrNiPb0.92Sn0.6Bi0.02,673,-152.5,218470,5.854,0.582
MgAgSb0.99In0.01,550,182.73,71091,1.352,0.989
Cu1.99In0.01Se,374,117.33,74324,0.585,0.666
Ta0.92Ti0.08FeSb,770,230.6,95550,4.45,0.883
Cu1.97In0.03Se,572,174.3,34899,0.85,0.73
In0.01Pb0.99Te0.996I0.004,428,-210.55,35200,1.577,0.424
Ca0.1BaGd1.9NiO5,421,230.88,27.6,2.423,0
Ca3Co2O6,573,174,630,6,0.002
SnTe0.15AgSbSe2,650,133.3,81500,1.762,0.534
Sn0.91Mn0.09Te0.99I0.01,622,132.47,122564,2.87,0.466
K8Ga8Ge38,250,2.5,94.9,1.114,0
Pb0.97Tl0.015Na0.015Te,397,152.27,74339,1.767,0.387
Ag8GeTe6,703,278,3000,0.34,0.481
BaBiTe2.9Se0.1,575,-204.2,3890,0.393,0.236
Ti0.95Mn0.05NiSn0.95Sb0.05,297,-93.19,255629,6.705,0.098
Nb0.95Ta0.05CoSn0.9Sb0.1,826,-157,97440,4.344,0.457
Li0.03Cu1.82Bi0.03Se,303,51.75,101149,1.116,0.074
In0.005Pb0.995Te0.996I0.004,585,-207.8,31410,1.48,0.536
Eu2ZnSb2,623,323,3333,0.41,0.528
Mg2.16(Si0.4Sn0.6)0.995Bi0.005,300,-176.84,75000,2.263,0.311
Ag0.01Sn0.99Se0.9S0.1,322,300.85,1505,0.332,0.132
Ge0.89In0.05Pb0.06Te,475,185.88,48117,1.193,0.662
Cu2.075Sn0.925S3,300,35.04,356436,4.33,0.03
La0.7Co4Sb12,473,-197.3,33980,4.52,0.138
Mg2.16(Si0.4Sn0.6)0.98Bi0.02,700,-204.1,94500,2.273,1.212
Ti0.99Mn0.01NiSn0.99Sb0.01,398,-142.92,94400,5.826,0.132
NbCo0.9Ni0.1Sn,803,-195.88,60118,6.191,0.299
Ti0.925Mn0.075NiSn0.925Sb0.075,398,-85.19,283444,6.772,0.121
Tl9.0Bi0.96Te6.0,443,190,23500,0.52,0.723
Ag1.1Sb0.8Pb15.5Te22.6,673,312,4500,0.962,0.306
BiCuSeO,825,320.5,2816,0.532,0.4
Cd2Cu3In3Te8,527,200,11000,1.14,0.203
Ag0.04Cr1.96Se3,671,154.12,25914,1.544,0.267
Ba8Ga15.88Zn0.007Sn30.12,300,320.4,16750,1.002,0.515
SnTe0.1AgSbSe2,600,113.1,109350,2.06,0.41
Cu2Sn0.9Zn0.1S3,723,148.2,30000,0.827,0.576
Cu3Sb0.95Ge0.05S4,373,234,9200,1.538,0.122
Bi0.9Ag0.1CuSeO,573,288.4,1934,0.504,0.183
K0.99Ba0.01GaSb4,649,-250,10424,0.559,0.757
Tl0.8Co4SnSb11,200,10.14,100000,2.236,0.001
(Sn0.8Ge0.2)0.8Mn0.2Te,473,92.4,130807,1.74,0.304
TiNiSn,498,-179.24,64238,4.799,0.214
GeTe,325,30,718750,7,0.03
Zn0.9Cd0.1Sc0.006O1.009,973,-139,30420,3.4,0.168
Cu3Sb0.9Ge0.1S4,573,227.3,17700,1.025,0.511
Yb13.6Ce0.363Mn0.99Sb11.05,973,196.25,15396,0.74,0.779
Al0.02Ge0.98Te,323,35.89,583929,6.626,0.037
Mg3.07Sb1.5Bi0.44Se0.06,600,-311.83,9923,0.701,0.825
Ba7.97Ga15.95Sn30.10,460,362.3,11183,0.867,0.779
GeSe0.6Te0.4,678,110.16,131343,2.748,0.393
Ge0.89In0.05Pb0.06Te,550,186.55,56373,1.267,0.852
ZnSc0.02O1.03,773,-244,6570,12.083,0.025
Mg2Zn1.02Sb2,300,411.84,662,0.712,0.047
Cu2Se0.92S0.08,650,201,27023,0.724,0.98
Tl4PbTe3,523,130,19900,0.634,0.269
Ca2Yb9Sb10,513,8,125510,2.146,0.002
Mg3.5Ho0.02Sb1.97Te0.03,700,-280.5,14059,0.776,0.998
AgBi0.98Pb0.02Se2.12,300,484.2,471.2,0.504,0.066
Ge0.87Mn0.05Sb0.08Te,648,202,79900,1.543,1.369
Ag3RbMo9Se11,717,146.02,16623,0.889,0.286
Ag0.01Sn0.99Se0.65S0.35,813,385,910,0.182,0.602
SnSe0.8S0.2,473,273.27,1841,0.867,0.075
Li0.03Cu1.81Bi0.04Se,504,72.05,103448,1.571,0.172
Eu(Zn0.7Cd0.3)2Sb2,400,176,48295,1.538,0.389
Cu2Sn0.9Zn0.1S3,323,70.7,55616,1.878,0.048
Mg3.5Gd0.04Sb1.97Te0.03,700,-253.87,16527,0.614,1.214
Ti0.99Mn0.01NiSn0.99Sb0.01,598,-167.35,105298,5.456,0.323
Sn0.975Pb0.01Cd0.015Se,423,356.33,2720,0.852,0.171
GeSe0.95Te0.05,725,533,400,0.689,0.12
Sn0.96Pb0.03Zn0.01Se,573,546.2,566,0.565,0.171
TaFeSb,670,69.48,2908,5.475,0.002
Ca3Co4O9,700,168.6,7344,2.4,0.061
CoAsSb,700,-104.1,68520,4,0.13
Er0.01(Bi0.23Sb0.77)1.99Te3,300,241.24,57647,0.862,1.168
Cu11.7Gd0.3Sb4S13,424,94.35,114608,1.416,0.305
Ba8.01Ga15.83Zn0.019Sn30.15,300,411.46,5190,0.863,0.305
GeSe0.85Te0.15,776,123.1,20522,1.072,0.225
AgBiSe2.0,323,-133,18550,0.605,0.175
AgBi0.85Sb0.15Se2,300,555.85,2.16,0.421,0
BiSb(Se0.94Br0.06)3,600,-186,17500,0.51,0.712
Ba8.01Ga15.88Zn0.009Sn30.11,540,444.7,6320,0.974,0.693
CuFe0.92In0.08S2,390,-373,2220,2.826,0.042
Ag2Se,374,-102.99,286667,1.755,0.634
Mg3.5Ho0.04Sb2,300,-188.8,19512,1.34,0.156
Gd2.75Se4,750,-187.32,4780,0.765,0.164
AgBi0.7Sb0.3Se2,326,-383.33,298,0.482,0.03
BaCu3.96S3.0,600,102.55,17630,0.844,0.132
Bi1.9Nb0.1Te3,505,-117.07,55714,0.755,0.511
Ba1.6Bi0.4CoRuO6,518,48,84920,1.254,0.081
Ag2Se1.0025,332,-127.3,146560,1,0.789
Ta0.92Ti0.08FeSb,570,194.8,144600,5.05,0.627
Sr14MgBi11,1013,138,50350,1.4,0.694
Mg3Sb1.9Bi0.1,660,393,986,0.66,0.152
Ca9Yb2Sb7Ge3,608,75.56,619,1.022,0.002
Mg3.5Ho0.02Sb2,300,-194.37,11239,1.249,0.098
Mg2Sn0.98Sb0.02,444,-99.22,346429,5.73,0.264
Bi2.0S2.91Se0.09,423,-476,562,0.66,0.082
Cu11.7Gd0.3Sb4S13,320,80.21,117112,1.392,0.173
Zn0.95Cd0.05Sc0.02O1.03,873,-132,14300,4.58,0.047
CoS2,150,-32.05,1000000,12.95,0.012
FeNb0.92Hf0.08Sb,600,187.4,169000,6.15,0.579
K8Ga8Ge38,200,1.59,117,1.144,0
Yb14MgBi11,621,61.59,66063,1.886,0.083
La0.5Co4Sb12,473,70.2,33898,2.166,0.036
Hf0.7Ti0.3CoSb0.8Sn0.2,885,232.4,46300,2.863,0.773
LiCo0.98Ni0.02O2,423,546.58,0,2.489,0
(SnTe)12Sb2Te3,523,113.28,140000,2.33,0.403
(SnTe)0.92(CuSbTe2)0.08,818,157,92500,1.739,1.072
Sn0.98Ce0.02Te,723,142.3,76000,2.09,0.55
Sn0.95Mn0.05Te,332,43.75,471006,5.658,0.053
Mg3.5Gd0.03Sb1.97Te0.03,600,-266.55,15432,0.673,0.978
Cd2Cu3In3Te8,625,219,8330,0.827,0.302
Ag1.1Sb0.8Pb15.5Te22.6,523,320,2685,0.968,0.149
TiZr0.005NiSn,323,-137.05,39385,2.934,0.081
Ag1.1Sb0.8Pb15.5Te22.6,573,324.8,3050,0.936,0.197
Nb0.83 CoSb,299,-87.4,137290,4.83,0.06
In0.01Pb0.99Te0.994I0.006,637,-202,31406,1.376,0.593
Ag0.01Cu1.965S0.5Se0.5,772,192.05,32500,0.896,1.033
Ag(Bi0.8Pb0.2)0.9Sb0.1Se2,378,152.78,538,0.552,0.009
Tl4PbTe3,323,52,81800,1.2,0.061
Ga0.15Co4Sb11.925Ga0.075,300,-246.4,31000,3,0.2
Cr1.99Fe0.01Ge2Te6,515,415.3,796.88,0.724,0.098
Ag8GeTe6,329,519,95,0.253,0.033
BaCu4.0S3.0,500,92,12216,0.81,0.064
Cu2.82Ag0.18SbSe4,523,395.3,6622,0.85,0.64
AgCuTe0.8Se0.2,422,161.63,14757,0.4,0.407
Rb2Bi8Se13,823,-247.3,3220,0.503,0.322
(Zn0.95In0.05)4Sb3,473,182.3,22700,0.805,0.443
Ca3AlSb3,422,351.85,326.7,0.988,0.015
In0.015Pb0.985Te0.996I0.004,585,-230.4,19900,1.293,0.474
Ag0.01Sn0.99Se0.65S0.35,567,443.16,249.63,0.177,0.157
Mg0.98Li0.02Ge0.8Si0.2,675,312.75,8692,2.272,0.253
Cu11ZnSb4S13,422,147.9,10700,0.453,0.218
Cu3SbSe4,423,368,3100,1.845,0.096
BiSbSe2.88Cl0.12,300,-165,7735,0.56,0.113
BiCuSeO,773,307,4575,0.48,0.7
GeSe0.55Te0.45,630,102.1,150741,1.893,0.523
Cu1.85Ag0.15SnSe3,800,401.01,2541,0.314,1.04
GeSe0.7Te0.3,678,39.59,72388,1.704,0.045
In0.005Pb0.995Te0.998I0.002,585,-237.95,19841,1.307,0.5
TiZr0.025NiSn,323,-155.66,27385,3.082,0.07
Ta0.92Ti0.08FeSb,370,150,234400,5.985,0.331
SnTe,330,11.33,742012,8.066,0.004
ZnSc0.02O1.03,473,-200,3500,26.083,0.003
Tl4SnTe3,523,175,16400,0.47,0.546
YbCd1.5Zn0.5Sb2,550,170.82,60900,1.251,0.87
Ag(Bi0.8Nb0.2)0.9Sb0.1Se2,326,-70,50250,0.774,0.104
Cu5Sn2S6.65Cl0.35,515,75,118947,2.125,0.162
Pb0.98Tl0.01Na0.01Te,597,223.2,43754,1.239,1.05
Er0.02(Bi0.23Sb0.77)1.98Te3,300,225,60650,0.813,1.133
Ba8.01Ga15.83Zn0.019Sn30.15,580,470.1,4780,1.274,0.481
Cu3Sb0.92Ge0.08S4,323,105.3,100816,3.882,0.093
Mg2.16(Si0.4Sn0.6)0.985Bi0.015,800,-224.48,74610,2.266,1.327
Mo3Sb7I,723,49.73,431500,6.376,0.121
Ca5In1.95Zn0.05Sb6,822,217.4,12700,0.812,0.608
Ge0.96Mn0.02Sb0.02Te,498,114.52,165979,2.92,0.371
Ca3Al0.98Zn0.02Sb3,722,274.2,3952,0.738,0.287
AgCuTe,723,249.61,9029,0.553,0.735
Ba0.5Cr5Se8,300,227.55,372,1.091,0.005
Formula,T(K),S(μV/K),s(S/m),k(W/Km),ZT
Sn0.97Ce0.03Te,423,71.4,231645,3.5,0.143
Cu1.925Ag0.075SnSe3,600,142.42,8576,0.676,0.154
Cu26V2Ge3Sb3S32,497,162.04,37544,1.202,0.408
(Ag0.05Sb0.05Sn0.9)(S0.05Se0.05Te0.9),434,68.32,201869,3.176,0.129
Yb13.43Ce0.44Mn1.07Sb11.07,373,64.69,41057,0.731,0.088
(Zn0.98In0.02)4Sb3,423,151.3,31920,0.81,0.382
LiCo0.85Ni0.15O2,523,308.97,1.3,2.045,0
Cu0.9Pd0.1FeS2,200,-123.66,37855,7.16,0.016
La0.15Ca0.85TiO3,740,-143.45,35484,3.04,0.178
Yb13.43Ce0.44Mn1.07Sb11.07,573,124.44,27520,0.716,0.341
Cu1.95S0.5Se0.5,673,124.85,66980,1.304,0.539
(SnTe)10Sb2Te3,623,167.69,87722,1.67,0.92
As2Te2.6Se0.4,423,249.2,1852.5,0.534,0.088
Ba8.03Cu5Ge40.97,760,-165.1,27735,1.38,0.418
Mo3Sb7I1.5,723,35.75,366600,5.59,0.061
CuGa0.98Mn0.02Te2,575,294.6,10789,2.943,0.183
Cu3Sb0.94Ge0.06S4,323,132.45,58163,3.444,0.096
S0.08Pd0.20Co3.80Sb12.04,600,-262,43900,2.4,0.6
Ag0.03Cu1.945S0.5Se0.5,578,168.44,26397,0.902,0.4
Cu0.99Pd0.01FeS2,30,-123.66,220.7,34.43,0
Ti0.9Mn0.1NiSn0.9Sb0.1,297,-74.81,347682,6.859,0.084
Bi0.96Ag0.04CuSeO,323,229,1623,0.575,0.048
Ca0.2BaGd1.8NiO5,1095,170.59,418.2,1.511,0.009
Mg2.975Na0.025Sb2,373,89,39000,1.84,0.063
Sn1.03Se0.12Te0.88,823,152.5,64050,2.23,0.55
(SnTe)0.92(CuSbTe2)0.08,719,139.29,106800,2.087,0.714
Ag(Bi0.9Nb0.1)0.7Sb0.3Se2,378,-179,6607,0.623,0.128
NbCoSn,375,-195.29,58698,11.762,0.071
Er0.01(Bi0.23Sb0.77)1.99Te3,500,195.83,31000,1.26,0.472
YbSi2,300,-52.6,747000,8.6,0.072
Sn0.91Mn0.09Te0.99I0.01,424,81.96,194872,3.458,0.161
Yb14MgBi11,521,47.95,68224,1.82,0.045
ZnSc0.02O1.03,873,-256.47,6428,10,0.037
Ba7.97Ga15.95Sn30.06,340,336.62,13463,0.923,0.562
Ba1.4Bi0.6CoRuO6,318,301,7310,1.2,0.176
Tl0.8Co4SnSb11,50,1.01,123171,2.285,0
Tl2GeTe3,373,212,3350,0.297,0.192
Na0.23Co4Sb12,850,-200,56000,2.7,0.5
NbCoSn,474,-208.7,53254,10.48,0.105
Cu3Sb0.996In0.004Se4,373,250.3,6182,2,0.072
AgCuTe0.5Se0.5,422,146,2715,0.227,0.095
In4Pb0.01Sn0.03Se2.9Cl0.06,723,-255,10988,0.532,0.964
Sb2Si2Te6,473,168.32,24312,0.75,0.434
Ag(Bi0.85Pb0.15)0.9Sb0.1Se2,378,436.11,289.4,0.581,0.036
Ca1.55Yb3.45Al2Sb6,563,175,1317,0.87,0.026
Ag2Se,309,-129.15,135738,1.041,0.69
Sb0.05Ge0.95Te,473,121.48,189908,2.836,0.467
Bi0.84Pb0.08Yb0.08CuSeO,640,135.2,17297,0.52,0.389
Ta0.88Ti0.12FeSb,970,231,86500,3.658,1.224
GeSe0.9Te0.1,630,118.05,3000,1.218,0.022
Ti0.98Mn0.02NiSn0.98Sb0.02,398,-121.3,159603,5.799,0.161
Yb13.6Ce0.363Mn0.99Sb11.05,673,138.73,25897,0.832,0.403
CsPr2Ag3Te5,616,156.42,434,0.439,0.015
Cu3P0.8Ge0.2S4,500,121.6,27600,0.925,0.221
Yb14MgBi11,914,97.95,57031,1.6,0.313
Cu0.98Pd0.02FeS2,10,-18.3,3652,10.9,0
Ba1.4Bi0.6CoRuO6,518,92.7,50000,1.135,0.196
Pb0.96Tl0.02Na0.02Te,301,120.13,102249,2.161,0.206
Zn0.9Cd0.1Sc0.006O1.009,1173,-156,25300,2.92,0.247
Ag0.03Cr1.97Se3,725,152.11,25000,1.623,0.258
(SnTe)20Sb2Te3,773,156.5,93900,2.31,0.77
CuGa0.97Mn0.03Te2,670,238.8,22350,2.461,0.347
Eu(Zn0.9Cd0.1)2Sb2,400,150.5,87000,1.91,0.413
Er0.03(Bi0.23Sb0.77)1.97Te3,300,216.5,62300,0.84,1.05
Rb2Bi8Se12.9935,526,-291,4015,0.532,0.336
Cu2.82Ag0.18SbSe4,573,378,7396,0.8,0.75
Bi0.8Ba0.2CuSeO,825,219.14,10000,0.688,0.679
Tl8.99Sb1.01Te6,503,179.75,26055,0.528,0.802
FeNb0.88Ti0.12Sb,900,214,90000,5.5,0.674
Cu2Se0.96I0.04,300,84.7,64438,0.74,0.187
Eu(Zn0.9Cd0.1)2Sb2,650,198,58200,1.392,1.065
Mg0.98Li0.02Ge0.8Si0.2,400,361.07,2538,3.359,0.039
Sn0.96Pb0.01Cd0.035Se,473,357,3651,0.507,0.434
Ba0.15In0.20Co4Sb11.84,300,-140,181000,1.8,0.4
Tl4SnTe3,473,160,18200,0.45,0.48
AgBiSe2,575,375,314,0.435,0.06
Mg2Zn1.02Sb2,573,72.19,4172,0.85,0.015
(Sn0.8Ge0.2)0.82Mn0.18Te,773,141.3,90910,1.535,0.914
As2Te2.8Se0.2,473,226.26,2011.7,0.551,0.088
Tl8.99Bi1.01Te6.0,382,271,6500,0.34,0.536
Cd2Cu3In3Te8,477,184.2,13000,1.29,0.163
AgCuSe,549,215.92,11513,0.5,0.589
Ag2.0Se0.6Te0.4,315,-108,77156,0.688,0.412
Pb0.995Zn0.02Te,622,-312.3,21908,1.16,1.16
Bi0.96Ag0.04CuSeO,523,280.2,1596,0.52,0.126
CuAgTe0.7Se0.3,408,252.45,6349,0.286,0.578
Pb0.99Tl0.005Na0.005Te,597,253.92,31576,1.194,1.018
Ca9Yb2Sb10,419,14.96,52245,0.75,0.007
Tl9.0Sb0.97Te6,447,155,32000,0.612,0.562
Yb13.6Ce0.363Mn0.99Sb11.05,373,59.37,46330,0.877,0.069
Co0.99Ni0.01GeTe,825,-87.23,80319,5.046,0.1
Ag8Sn0.5Ga0.5Se6,732,-130.37,23531,0.3,0.91
Co4Sb11.5Te0.5,850,-200,65800,2,0.7
Ge0.98Mn0.01Sb0.01Te,498,73.55,262887,3.829,0.185
Cu2.94Ag0.06SbSe4,548,372,5501,1.04,0.401
Ge0.58Sb0.22Te0.8(AgSnSe2)0.2,523,206.21,34800,0.69,1.134
BiSbSe2.88Cl0.12,400,-195,6740,0.52,0.197
Li0.02Cu1.85Se,784,76.36,166346,2.97,0.256
FeNb0.86Hf0.14Sb,600,145.63,279845,5.305,0.671
Ca0.99Yb4.01Al2Sb5.84Ge0.16,661,159.35,3785,1.02,0.09
Cu2.2Sn0.8Sb0.2Se3.2,300,46.86,217574,3.487,0.041
Li0.03Cu1.81Bi0.04Se,303,57,96552,1.071,0.089
La0.3Co4Sb12,373,67,25735,3.85,0.011
SnS0.88Se0.12,723,377,8150,0.99,0.83
CrSe3,300,89.43,40679,1.803,0.054
Sn0.975Pb0.01Cd0.015Se,300,312.9,1587,1.237,0.038
Cu22Sn10S32,500,71.97,157205,2.64,0.154
Cu2SnSe3,600,148.48,13697,0.898,0.202
Bi0.825Ba0.175CuSeO,420,162.82,19519,0.682,0.437
GeSe0.55Te0.45,320,50.08,222761,2.738,0.065
Cu2Se0.98S0.02,303,85.86,124627,0.902,0.309
Bi0.48Sb1.52Te3,500,181.2,35570,2.086,0.266
In0.30Co4Sb11.90,800,-233,77000,1.6,1.2
Sn0.975Pb0.01Cd0.015Se,573,400,1746,0.624,0.257
(CaZn0.4Ag0.2Sb)0.87(LiZnSb)0.13,873,180.23,23933,0.539,1.258
Cu2Se0.9S0.1,613,144,42170,0.555,0.966
LiGe11.5Sb2Te15,573,249.5,46070,1.366,1.203
Ag0.97Cr0.97Bi0.03Se2,303,77.55,24870,0.494,0.092
Mg0.95Li0.05Ge0.9Si0.1,600,294.3,14308,2.633,0.282
Ti0.97Mn0.03NiSn0.97Sb0.03,871,-143,139800,5.543,0.449
Cu5SnSbSe6.58,300,30.34,336207,4.171,0.022
Ag0.97Cr0.95Sb0.05Se2,753,200,6743,0.503,0.404
Rb7.88Au2.47Ge43.53,150,-8.06,296,1.692,0
(SnTe)40Sb2Te3,323,35.43,392357,5.535,0.029
Ca9Yb2Sb7Ge3,513,64.4,206,1,0
Pb0.99Tl0.01Te,798,276.8,20541,0.871,1.442
Ge0.96Mn0.02Sb0.02Te,398,77.1,242268,3.775,0.152
BaTmCo4O7,368,130,108,0.557,0.001
Er0.03(Bi0.23Sb0.77)1.97Te3,350,235.73,50322,0.824,1.187
Nd2.92Te4,573,-49.4,163640,2.743,0.083
In4Pb0.01Sn0.03Se2.9Cl0.02,623,-260,14800,0.592,1.053
AgBiSe2.12,400,642,123,0.644,0.031
AgCuTe0.7Se0.3,723,254.27,10146,0.507,0.924
CsNd2Ag3Te5,385,32.87,126.5,0.453,0
(SnTe)20Sb2Te3,423,63.62,237197,3.98,0.102
Li0.01Cu1.85Se,502,33.38,365385,3.697,0.055
(Cu0.002Pb0.998Te)(MnTe)0.03,623,-169.3,73931,1.464,0.902
Ca5Ga1.8Zn0.2Sb6,724,104.62,37650,1.307,0.228
AgSb0.93Mn0.07Te2,394,88.35,99865,1.155,0.266
Ca5In1.98Zn0.02Sb6,422,263.7,5418,0.933,0.164
Mg3.5Gd0.045Sb2,700,-271.48,14631,0.763,0.989
Bi0.9Ag0.1CuSeO,773,325.7,2200,0.45,0.401
Ge0.87Mn0.05Sb0.08Te,298,92.58,114433,2.01,0.145
SnS0.88Se0.12,423,213,54487,1.82,0.575
ZrNiPb0.993Bi0.007,673,-213.47,102872,6.215,0.505
Bi2.0S3.0,423,-641,33.5,0.576,0.01
Ca0.99Yb4.01Al2Sb5.84Ge0.16,613,183.64,3084,1,0.064
Cu2Se0.96I0.04,400,112,41410,0.788,0.264
CuGa0.99Mn0.01Te2,575,346.2,8070,2.262,0.246
Sr0.40Co4Sb12.54,300,-52,422000,2.9,0.1
(Cu0.002Pb0.998Te)(MnTe)0.03,823,-206.84,37655,1.213,1.093
Cu2.88Ag0.12SbSe4,373,369,10316,1.49,0.352
Cu2Se0.96I0.04,450,129,36963,0.79,0.35
Mg3.5Ho0.03Sb2,500,-258.2,13030,0.921,0.471
ZrNiSn0.99Sb0.01,874,-205.7,125910,4.48,0.77
Ag0.97Cr0.95Bi0.05Se2,503,115.68,12020,0.47,0.172
AgSn5.0BiTe7.0,600,132.45,73070,2.13,0.361
Tl0.8Co4SnSb11,250,14.86,90990,2.26,0.002
Ta0.94Ti0.06FeSb,670,222.4,93500,4.667,0.669
Ba8Cu5.18Si9.98Ge30.85,514,-111.34,60944,1.654,0.235
Bi1.2Sb0.8Se2.82Cl0.18,500,-144,22044,0.71,0.322
GeSe0.7Te0.3,728,100.69,72201,1.75,0.305
BiSb(Se0.92Br0.08)3,700,-193,17925,0.5,0.94
SnTe0.2AgSbSe2,400,83.59,106711,1.27,0.284
Cu5SnSbSe6.79,300,30.34,443478,4.724,0.026
Li1.01Co0.85Ni0.15O2,823,303,68,0.915,0.006
Cu22Sn10S32,700,97.05,100840,2.035,0.327
Bi0.88Pb0.06Yb0.06CuSeO,347,117,38400,0.65,0.281
Mg3.5Ho0.04Sb1.97Te0.03,500,-237,21450,0.911,0.661
Cu26Ti2Sb3Ge3S32,308,67.01,158333,1.995,0.11
Bi2.0S2.91Se0.09,723,-475,470,0.52,0.148
Bi0.875Ba0.125CuSeO,825,200.64,8702,0.691,0.554
Bi0.985Na0.015CuSeO,300,253.5,12500,0.81,0.298
Ag2Se,377,-90,267541,1.333,0.613
Ag8Sn0.4Ga0.6Se6,573,-323.83,660,0.283,0.12
Ta0.96Ti0.04FeSb,470,220.8,76039,5.703,0.308
Cu2.94Ag0.06SbSe4,598,355,6667,0.96,0.523
K0.99Ba0.01GaSb4,509,-220.4,13266,0.7,0.469
Sr14MgBi11,521,56.82,55725,1.328,0.071
Mg2.975Na0.025Sb2,323,75,36600,2.01,0.033
Ba8.07Cu4.89Si41.03,417,-54.3,150300,2.861,0.064
LiCo0.96Ni0.04O2,1023,544.83,96.1,1.614,0.018
NbCoSn,779,-228.82,37633,8.155,0.188
Cu2Se,672,94,151351,2.472,0.364
(Cu3SnS4)0.895(Ga2Te3)0.105,331,52.02,178473,2.951,0.054
Ti0.99Al0.01O2,296,-414.77,1699.5,6.238,0.014
AgCuTe,320,65.19,75588,1.072,0.093
Ta0.88Ti0.12FeSb,870,220,100200,3.828,1.102
Ag(Bi0.9Pb0.1)0.7Sb0.3Se2,576,370.27,702,0.591,0.094
Ca5In2Sb6,520,480,967,0.75,0.155
Ag2.0Se0.8Te0.2,375,-127.6,101835,0.837,0.743
Ba8.01Ga15.89Zn0.006Sn30.1,340,355.28,13640,0.926,0.632
Mg3Sb1.9Bi0.1,470,340,500,0.98,0.028
Ag0.03Cr1.97Se3,619,154.3,26700,1.528,0.258
Eu2Zn0.98Sb2,823,216,12211,0.476,1
Nb0.95Ta0.05CoSn0.9Sb0.1,628,-133.27,117021,4.766,0.274
(Sn0.8Ge0.2)0.94Mn0.06Te,873,146.3,94350,1.875,0.94
Cu2.9Ag0.1ErTe3,300,41.7,233000,2.26,0.054
As2Te2.6Se0.4,323,210,940,0.59,0.02
Sr0.11Ba0.18Co4Sb12.09,800,-161,213636,3.93,1.127
Co9S8,66,-1.5,17339800,29.05,0
Ge0.98Mn0.01Sb0.01Te,398,51.61,383505,5.187,0.078
Ag(Bi0.85Nb0.15)0.7Sb0.3Se2,526,-231,4467,0.651,0.193
Ba0.15In0.16Co4Sb11.83,850,-200,98900,0.9,1.3
Mg3.5Gd0.035Sb2,400,-207.5,20665,1.043,0.341
Bi0.8Pb0.1Yb0.1CuSeO,640,137.17,12308,0.563,0.263
Ca6Yb5Sb10,419,8.3,51429,1.222,0.001
Ge0.55Pb0.45Te0.8Se0.2,370,100,31915,0.996,0.119
Ca5Ga1.9Zn0.1Sb6,724,151.16,24400,1.097,0.368
Cu5Sn2S7,627,68.75,159155,3.125,0.151
Cu2Se0.96S0.04,372,117.76,66800,0.532,0.648
TmCuTe2,457,102.6,66864,1.324,0.243
Al0.005Sb0.1Ge0.895Te,573,223,54699,1.424,1.094
(SnTe)10Sb2Te3,773,177.44,77100,1.76,1.066
Se0.2Co4Sb11.6Se0.4,300,-262,9400,2.1,0.1
Cu0.995Pd0.005FeS2,30,-419.85,7.3,50,0
Ba8Cu5.04Si13.01Ge27.96,417,-83,80226,1.873,0.122
Nd2.9Te4,573,-56.9,138400,2.471,0.094
Sr0.21Yb0.03Co4Sb12.12,800,-177,180000,3.67,1.229
Bi2.0S2.85Se0.15,323,-439,938,0.77,0.076
Zn0.9Cd0.1Sc0.03O1.045,1073,-150,27350,3.02,0.219
Ti0.5Zr0.25Hf0.25NiSn0.998Sb0.002,373,-215.8,51520,2.88,0.26
BiCu0.975SeO,723,241.67,3625,0.464,0.33
In0.005Pb0.995Te0.999I0.001,533,-269.4,14150,1.38,0.4
Ca14MgSb11,800,150,6818,0.693,0.177
Al0.02Ge0.98Te,373,47.68,503571,6.141,0.07
NbCoSn0.9Sb0.1,302,-85.6,275830,7.64,0.07
Bi0.94Ag0.06CuSeO,573,296.7,1649,0.48,0.173
As2Te3,523,5.94,1637.9,0.684,0
S0.02Pd0.20Co3.80Sb12.06,700,-233,71600,2.5,0.8
Bi0.96Ag0.04CuSeO,723,313.3,2360,0.49,0.342
As2Te1.5Se1.5,298,529.29,5.4,0.37,0.001
YbCd1.3Zn0.7Sb2,450,136.29,79253,1.397,0.474
Ag0.8Sb0.8Pb18.3Te20.0,573,-273.6,12228,0.735,0.714
BiSb(Se0.96Br0.04)3,700,-213,13298,0.5,0.845
Cu5SnSbSe6.58,473,45.52,246552,3.624,0.067
(CaZn0.4Ag0.2Sb)0.87(LiZnSb)0.13,472,147.1,34301,0.693,0.505
Cu2.82Ag0.18SbSe4,323,336,10316,1.54,0.25
Mg0.97Li0.03Ge0.9Si0.1,600,253.36,28615,2.81,0.392
Ti0.25Hf0.75 CoSb0.85Sn0.15,391,196.1,65920,2.98,0.29
